Name,Link,Year,Author,Dataset,Method,Result,
Skin Cancer Classification in Dermatological Images based on a Dense Hybrid Algorithm,https://drive.google.com/file/d/13zPOVRiBeYrPRdM37jhIt74CsXabAfjP/view,2022,"Diego Castellano Carvajal, Byron Medina Delgado, Dinael Guevara Ibarra, Luis Camargo Ariza",HAM10000,DenseNet121,Accuracy improvement of 3.9%,
,,,,,PCA,Precision improvement of 4%,
,,,,,XGBoost,F1 score improvement of 4.9% for carcinoma,
,,,,,,Memory usage improved by 4.09 times,
Multiclass Classification of Skin Cancer using Convolutional Neural Network,https://drive.google.com/file/d/1GErz0i-vUsZ27eJwTdX6b08uPf_aqV6m/view,2022,"Shobha Y, K.V. Prasad, Anuradha S G",HAM10000,Convolutional Neural Network (CNN),"Training Accuracy: 86.54%, Testing Accuracy: 77.91%",
,,,,,Data Augmentation,"Macro Average Precision: 62.0, Weighted Average Precision: 77.0",
,,,,,,F1-Score (average): 0.86,
,,,,,,"Precision: 0.62, Recall: 0.54 for Macro, Weighted F1-Score: 0.86",
Deep Neural Networks for Classification of Dermatological Images with Multiple Skin Lesions,https://drive.google.com/file/d/19ZLTqAtpOQQi3D79lgFG8OXsfi3KKa_L/view,2022,"Maria Oniga, Razvan-Florian Micu, Andreea Griparis","HAM10000, MultiLesion",U-Net (segmentation),"Global IoU of 85% on HAM10000, 72.79% on MultiLesion patches.",
,,,,,EfficientNetB5 (classification),Highest accuracy of 93% for specific skin lesion types.,
Recognition of Type of Skin Disease Using CNN,https://drive.google.com/file/d/1UTnJgZJvpI1vNBM2USIeityYu0CqNayF/view,2022,"Medishetty Maniraju, Rudrangi Adithya, Gandu Srilekha",HAM10000,Convolutional Neural Networks (CNN),"Achieved high accuracy: 97% for Actinic Keratoses, 91% for Melanocytic Nevi, etc.",
FixCaps: An Improved Capsules Network for Diagnosis of Skin Cancer,https://drive.google.com/file/d/1JTPkVCcanUyTH3m2qyAQzHXjiqTGpkFp/view,2022,"Zhangli Lan, Songbai Cai, Xu He, Xinpeng Wen",HAM10000,"FixCaps, an improved capsule network using large-kernel convolution, convolutional block attention module, and group convolution to improve accuracy","Accuracy: 96.49% on the HAM10000 dataset, outperforms IRv2-SA for skin cancer diagnosis",JOURNAL
Performance of Multi Layer Perceptron and Deep Neural Networks in Skin Cancer Classification,https://drive.google.com/file/d/1gEyXt_oWZ7VZw7Y1w0KurL8_INP0y3ZH/view,2021,"Yessi Jusman, Indah Monisa Firdiantika, Dhimas Arief Dharmawan, Kunnu Purwanto",HAM10000,Multi-layer Perceptron,Accuracy: 71.9% - 84.88%,
,,,,,Custom CNN,Accuracy: 73.17% - 95.12%,
,,,,,Pre-trained VGG-16 (Transfer Learning),Accuracy: 84.89% - 97.56%,
,,,,,Comparison of Accuracy,VGG-16 performs best,
,,,,,Training Time,"CNN: 9312s, MLP: 7628s",
,,,,,Testing Time,"CNN: 35.77s, MLP: 199.76s",
,,,,,Testing Time Comparison,CNN & VGG-16 faster than MLP,
,,,,,Classification Accuracy,CNN and VGG-16 outperform MLP,
,,,,,Time Comparison,CNN & VGG-16 more efficient than MLP,
,,,,,Performance Conclusion,VGG-16 preferred for accuracy and speed,
LRNet: Skin Cancer Classification using Low-Resolution Images,https://drive.google.com/file/d/1Y4Huk1jgx3MKBT8_LvVzDT-ZwaJ8ZEQN/view,2021,Mitt Shah,HAM10000,LRNet,Accuracy: 90.6%,
,,,,,,Sensitivity (TPR): 94%,
,,,,,,Specificity (TNR): 91.7%,
,,,,,,Precision (PV): 94.2%,
,,,,,VGG-19,Accuracy: 89.5%,
,,,,,AlexNet,Accuracy: 86.1%,
,,,,,Inception v3,Accuracy: 79.5%,
,,,,,DenseNet,Accuracy: 90%,
,,,,,ResNet,Accuracy: 87.5%,
Skin Cancer Classification Model Based on VGG19 and Transfer Learning,https://drive.google.com/file/d/1mN88_56s77l0z03pvWFCH4j7ODvh32vS/view,2020,"Nour Abuared, Alavikunhu Panthakkan, Mina Al-Saad, Saad Ali Amin, Wathiq Mansoor",HAM10000,Transfer Learning with VGG19 CNN,"Training Accuracy: 98.59%, Testing Accuracy: 97.50%",
,,,,,"Image Augmentation (crop, scale, contrast, flip)","Loss: 0.0991 (Training), 0.1185 (Testing)",
Skin Cancer Classification using Transfer Learning,https://drive.google.com/file/d/1yKuKxDoleH73zJy0bHjIsnJCTSZgUd2c/view,2020,"Hari Kishan Kondaveeti, Prabhat Edupuganti",HAM10000,"Transfer Learning with ResNet50, MobileNet, Xception, InceptionV3","Accuracy: 90%, Weighted Average Precision: 0.89, Weighted Average Recall: 0.90",
,,,,,"Data Augmentation (flipping, cropping, rotating)",Increased model performance and reduced overfitting,
,,,,,Class-Weighted Loss,Tackled class imbalance,
,,,,,ResNet50 as Final Model,Best performing model with 90% accuracy,
Deep Learning in Skin Lesion Analysis Towards Cancer Detection,https://drive.google.com/file/d/1_0AIAhtRTz9A9pqYEg_DaN5W768M4Zpn/view,2020,"Anthony Kioria Waweru, Khandakar Ahmed, Yuan Miao, Payam Kawan","HAM10000, ISIC 2018",DenseNet201 (Transfer Learning),78% Balanced Accuracy,
,,,,,EfficientNetB7 (Transfer Learning),75% Balanced Accuracy,
,,,,,ResNet50 (Transfer Learning),74% Balanced Accuracy,
A Multi-Input CNNs with Attention for Skin Lesion Classification,https://drive.google.com/file/d/1AM5iD0w0p8RvTaUDGiicGG103tacy545/view,2020,"Jing Wu, Wei Hu, Yonghao Wang, Yuan Wen",HAM10000,Multi-input CNN with Attention,"Achieved advanced performance in multi-class skin lesion classification. Mean ACC improved from 83.9% (VGGNet) to 88.4%, Mean AUC improved from 93.8% to 97.5%.",
,,,,,VGGNet,"Achieved 83.9% ACC, 93.8% AUC in baseline performance.",
,,,,,ResNet,"87.1% ACC, 96.3% AUC with improvements over VGGNet.",
,,,,,DenseNet,"88.1% ACC, 96.8% AUC outperformed ResNet slightly.",
Multi-Class Skin Lesion Detection and Classification via Teledermatology,https://drive.google.com/file/d/1j68OANM7ytAs3PPLSENsTmMYatA83u9W/view,2021,"Muhammad Attique Khan, Khan Muhammad, Muhammad Sharif, Tallha Akram, Victor Hugo C. de Albuquerque","ISBI2016, ISIC2017, ISBI2018, PH2, HAM10000","Hybrid CNN model with HDCT saliency for localization, DenseNet for classification, MCCA feature fusion","Segmentation accuracy: ISBI2016 (92.98%), ISIC2017 (91.52%), ISBI2018 (92.25%), PH2 (96.66%); Classification accuracy: ISBI2016 (95.26%), ISBI2017 (95.26%), HAM10000 (88.39%)",JOURNAL
FCN-Based DenseNet Framework for Automated Detection and Classification of Skin Lesions in Dermoscopy Images,https://drive.google.com/file/d/1GX2QLLMW8kSmY59i_m9sdITzA2TuBTvL/view,2020,"Adekanmi A. Adegun, S. Viriri",HAM10000,"Encoder-decoder FCN with CRF for segmentation, DenseNet with dense blocks, hyperparameter optimization using Adam optimizer.","98% accuracy, 98.5% recall, 99% AUC on HAM10000 dataset.",JOURNAL
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
EFAM-Net: A Multi-Class Skin Lesion Classification Model Utilizing Enhanced Feature Fusion and Attention Mechanisms,-,2024,"Zhanlin Ji, Xuan Wang, Chunling Liu, Zhiwu Wang, Na Yuan, Ivan Ganchev","ISIC 2019, HAM10000, Private","EFAM-Net model with ARLC block, PCNXt block, MEAFF block; feature extraction, fusion, and attention mechanisms","Achieves 92.30%, 93.95%, and 94.31% accuracy on ISIC 2019, HAM10000, and a private dataset respectively; better lesion localization and robust to overfitting and gradient issues.",
